EL,ER,SL,SR,type
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
34,34,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
33,33,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
32,32,38,38,2
